"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000058914",452.868146982799,1.6742759922209,0.236201315678609,7.0883432101582,1.3572703300437e-12,5.17561108603914e-09
"ENSMUSG00000071984",1007.4786640433,1.12979791630745,0.173365721573025,6.51684719479886,7.18005014406209e-11,1.82528841412298e-07
"ENSMUSG00000063564",112.575078196479,1.35218403390674,0.214659490772513,6.29920451707271,2.99177033561752e-10,4.5633472929174e-07
"ENSMUSG00000027408",1249.18211707376,1.13567135020474,0.203466162710364,5.58162268888602,2.38284873098054e-08,2.0191995385359e-05
"ENSMUSG00000072596",155.533157055401,1.3761196357079,0.257865276390241,5.33658371910977,9.47141503871068e-08,5.35224323352478e-05
"ENSMUSG00000042436",544.153686109373,1.10482224671897,0.209020544830932,5.28571125681745,1.25217271509322e-07,6.16109368494092e-05
"ENSMUSG00000051747",209.76259358238,1.32239482911048,0.251142097405449,5.26552434964969,1.39789788919817e-07,6.66316765748117e-05
"ENSMUSG00000031548",146.471611716375,1.00231565487414,0.194165587180122,5.1621694113299,2.44104218354585e-07,9.82047885366013e-05
"ENSMUSG00000042254",146.308819140114,1.24008017455235,0.241851213047395,5.12745071205963,2.93691833669079e-07,0.000111992038473862
"ENSMUSG00000031962",230.754733302207,1.04273367536017,0.207559510074511,5.02378173366201,5.06638131400107e-07,0.000164420242941401
"ENSMUSG00000023885",7542.69396143982,1.00681515569261,0.215665996295843,4.66840008617536,3.03554337205726e-06,0.000617348574053192
"ENSMUSG00000026208",188.061502522753,1.78069963274561,0.389196588109382,4.57532179661646,4.75488553801136e-06,0.000902520153182779
"ENSMUSG00000002265",165.908571784734,1.08269833553796,0.244194169994716,4.43375996880427,9.26037229211411e-06,0.00149834297963356
"ENSMUSG00000043613",216.793004276473,1.42148266271537,0.321003707347658,4.42824375600081,9.50034989948122e-06,0.0015094670522582
"ENSMUSG00000027996",269.106721685123,1.32624208222432,0.304158966769894,4.3603583228492,1.29849633466461e-05,0.00192290918375139
"ENSMUSG00000028179",340.008045843987,-1.29776451855021,0.300264657244794,-4.32206883906485,1.54572942145695e-05,0.00218305656161878
"ENSMUSG00000050578",1835.99685590605,1.13137891888891,0.262618245619444,4.30807431608685,1.64682056962401e-05,0.00227495663391683
"ENSMUSG00000031825",308.89570364387,1.0082375919678,0.235239354914359,4.28600729811924,1.81913013788321e-05,0.00245550371620643
"ENSMUSG00000032715",407.478389062454,-1.05602195154182,0.248558556205109,-4.24858418742343,2.15125801387885e-05,0.00266444290727212
"ENSMUSG00000023045",278.692761801861,-1.09959764949167,0.263984385885892,-4.16538897102411,3.10822164726379e-05,0.00346056239311785
"ENSMUSG00000044338",122.677387923084,1.38831374796484,0.339134835307064,4.09369254770838,4.24557196699155e-05,0.00449706313975847
"ENSMUSG00000020256",404.824838135031,-1.03002042826407,0.25242591468658,-4.08048606872623,4.49416229396993e-05,0.00466322839931451
"ENSMUSG00000054136",142.731447230523,-1.37700678693645,0.339141005988716,-4.06027806316722,4.9014308228382e-05,0.00505145434734804
"ENSMUSG00000076614",344.926628536242,2.18678290284197,0.550941737804375,3.96917269611263,7.21225987146589e-05,0.00661711119618103
"ENSMUSG00000027386",148.559462517054,1.16591929418476,0.297321059417172,3.92141510752811,8.8030462383665e-05,0.00726762871131235
"ENSMUSG00000035504",123.672807615777,-1.17095619835151,0.301488996089606,-3.88391023731921,0.000102789868865513,0.00784843179466668
"ENSMUSG00000049103",964.991167662638,1.01705686773477,0.274665465521638,3.70289313876137,0.000213154682424874,0.0134349106240769
"ENSMUSG00000061353",102.653977756792,1.03635734306306,0.287251675894744,3.60783741238401,0.000308759867218757,0.0173782813826115
